#,LINK,ARABIC,ENGLISH
1,http://www.alnafitha.com/,شركة النافذه الدوليه لتقنية المعومات,Al Nafitha International for Information Technology
2,http://2fast.io/,شركة سرعة النفاذ للأمن السيبراني,2FAST
3,http://3tsa.com/,شركة المثلث التقني الكامل,.3T Total Technical Triangle CO
4,https://www.4data.com.sa/,شركة البيانات الأربعة لتقنية المعلومات,4 Data Information technologies LLC
5,https://global.abb/group/en/technology/cyber-security,شركة اية بي بي,ABB
6,https://threea.net/,شركة عبدالرحمن عبدالله الموسى للتجارة,Abdulrahman A. Al-Moussa Trading Co. LTD
7,https://abovetargets.com/,شركة فوق التوقعات للاتصالات وتقنية المعلومات,Above Targets Company for Communication and Information Technology
8,https://abrar.com.sa/,شركة أبرار للاتصالات,Abrar Communication Co.
9,https://aol.edu.sa/,معهد أكاديمية التعلم العالي للتدريب,Academy of learning institute for Higher Training
10,https://www.accenture.com/sa-en,شركة اكسنتشر السعودية المحدودة,Accenture Saudi Arabia limited
11,https://www.acetsolutions.com/,شركة أيه سي إي تي سوليوشنز إل إل سي,ACET Solutions LLC
12,https://www.activeshield.sa/,شركة الدرع النشط للأمن السيبراني,Active Shield for Cybersecurity Company
13,http://ats-ware.com/,الشركة الفنية لتوطين التقنية,Adaptive TechSoft (ats)
14,https://adsys.net/,شركة أنظمة البيانات المتقدمة,Advanced Data Systems
15,https://www.aecl.com/ar/,شركة الإلكترونيات المتقدمة,Advanced Electronics Company
16,https://www.hami-security.com/,شركة أنظمة الحماية الرقمية المتقدمة للاتصالات و تقنية المعلومات القابضة,Advanced ICT Digital Security Company
17,https://www.itmatrix.com/,شركة المصفوفة المتقدمة لتقنية نظم المعلومات,Advanced Matrix
18,https://ats.ae/,شركة الحلول التقنية المتطورة العربية للأمن السيبراني,Advanced Technical Solutions
19,https://www.sirar.com.sa/,شركة المتقدمة للتقنية والأمن السيبراني,Advanced technology and cybersecurity company limited (sirar by stc)
20,https://atbs.sa/,شركة التقنية المتطورة لخدمات الأعمال,Advanced Technology for Business Services
21,https://ajlanbros-holding.com/,شركه عجلان واخوانه للأمن السيبراني,Ajlan and bros for Cyber security AJ CYBER
22,https://www.akedco.com/,شركة اكيد لتقنية المعلومات,AKEDco
23,https://t.alkhaleej.com.sa/,شركة الخليج للتدريب والتعليم,Al khaleej Training and Education
24,https://www.alamaan.com/,شركة الأمان المتكاملة الأمنية,Alamaan Almutakamela
25,https://www.ase.sa/,الشركة العربية لهندسة النظم,Alarabiya Systems Engineering
26,https://www.alfanar.com/,شركة الفنار للتجارة,Alfanar Company
27,https://alhadatec.com/,شركة الهدا نور للاتصالات وتقنية المعلومات,ALHADA NOUR FOR TELECOM AND INFORMATION TECHNOLOGY
28,https://www.rsm.global/saudiarabia/,شركة المحاسبون المتحدون للاستشارات المهنية,Allied Accountants Professional Services (RSM Saudi Arabia)
29,https://www.almaalim.com/,شركة المعالم الدولية للتقنية المحدودة,Almaalim int. Co. LTD
30,https://almisanbs.com.sa/,شركة الميسان لخدمات الأعمال,ALMISAN BUSINESS SERVICES COMPANY
31,https://www.alqemam.com/,شركة تقنيات القمم للحاسبات والنظم التجارية,Alqemam for Computer Systems
32,https://www.goritis.com/,شركة الرمّاح العالمية لخدمات الاتصالات و نظم المعلومات,AlRammah International for IT and Telecom Services Co
33,https://www.alsaifco-ksa.com/,مؤسسة السيف العربية للمشاريع,Al-saif Arabia for Projects
34,https://www.aman.com.sa/,شركة أمان الحلول للأمن السيبراني,Aman solutions for cybersecurity
35,https://www.amnoon.info/,مكتب آمنون للإستشارات الأمنية,AMNOON SECURITY CONSULTING OFFICE
36,https://www.anazeem.com/,شركة اناظيم للتقنية,Anazeem Information Technology
37,https://www.anmat.sa/,شركة أنماط التقنية للتجارة,Anmat Tech
38,https://www.appsec.sa/,شركة أمن التطبيقات للأمن السيبراني,Appsec
39,http://www.ascit.sa/,مؤسسة عرب الفضاء للاتصالات وتقنية المعلومات,Arab Space
40,https://www.astc.com.sa/,شركة العربية للعلوم والتقنية,ARABIAN FOR SCIENCE AND TECHNOLOGY Co
41,https://www.acs.com.sa/,شركة أنظمة الحاسب الآلي العربي السعودية,Arabic Computer Systems LTD
42,https://rtelo.com/,شركة رسم الصحراء لتقنية المعلومات,Art Of Desert - RTelo
43,http://ata-cit.com/,مؤسسة عطا السعودية للإتصالات وتقنية المعلومات,ata assudia technology
44,https://www.aisc-sa.com/,شركة عذيب إنترجراف السعودية,Atheeb Intergraph Saudi Company
45,https://www.aujas.com/,شركة أوجاس سايبر سيكيورتي ليميتد,Aujas Cybersecurity Limited
46,https://www.axs.sa/,شركة الحلول المتسارعة للاتصالات وتقنية المعلومات,Axelerated Solutions Co
47,https://bahwancybertek.com/home/,شركة بهوان السعودية لتقنيات الحاسوب,Bahwan Saudi IT LLC
48,https://www.bakerhughes.com/,شركة بيكر هيوز العربية السعودية للتشغيل والصيانة,Baker Hughes Saudi Arabia
49,https://btcnetworks.net/,شركة بعد للاتصالات السلكية واللاسلكية,Baud Telecom Company
50,https://www.bs-ict.com/,شركة منارات النظم,Beacons Systems Company
51,https://www.binzomah.com/,شركة بن زومة للتقنية,Binzomah Tech
52,https://www.blueshields.net/,مؤسسة الدروع الزرق,Blue Shields
53,https://bmbgroup.com/,شركة ب م ب إنترناشونال السعودية المحدود,bmb Group
54,https://cebr.sa/,شركة سبر للأمن السيبراني,CEBR
55,https://brains-rs.com/,شركة وادي العقول,Brains valley CO
56,https://cerebra.sa/,شركة المنطق الآمن لتقنية نظم المعلومات,Cerebra
57,https://c-guards.com/,شركة الترس الامن لتقنية المعلومات,Cguards
58,https://cipher.com.sa/,شركة النص المشفر للأمن السيبراني,Cipher company for cyber security
59,https://www.cisco.com/,شركة سيسكو العربية السعودية المحدودة,Cisco Saudi Arabia Limited
60,https://cov.sa/,شركة وضوح الرؤية لتقنية المعلومات,Clarity of Vision Information Technology
61,https://www.cleversolutions.sa/,شركة الحلول العبقرية للإتصالات وتقنية المعلومات,Clever solutions company
62,https://www.c9-ict.com/,شركة السحابة التاسعة للاتصالات وتقنية المعلومات,Cloud 9
63,https://ccds.ws/,شركة كلاود العربية لتقنية نظم المعلومات,Cloud Consultancy Digitalization & Security
64,https://cognna.com/,شركة البصيرة الأمنة للأمن السيبراني,Cognna
65,https://www.aic2.com/,شركة حلول الذكاء الجديد,Company Hulul al-Dhaka' al-Jadid For Contracting
66,https://css-mea.com/,شركة حلول الأنظمة المتقاربة للاتصالات وتقنية المعلومات,Converged System Solutions
67,https://www.edesign.com.sa/,شركة ابداع الوسائط لتقنية المعلومات,Creative Media Co.
68,https://www.crowe.sa/,شركة عالم التقنية المتقدمة لتقنية نظم المعلومات,Crowe
69,https://crystalnetwork.com.sa/,شركة كريستال العالمية لتقنية المعلومات,Crystal International Technology
70,https://ccitech.com.sa/,شركة المحتوى السيبراني لتقنية المعلومات,Cyber Content Information Technology
71,https://www.cybershield-me.com/,مؤسسة الدرع الآمن للأمن السيبراني,Cyber Sheild for Cybersecurity
72,https://cyberspace.com.sa/,مؤسسة فضاء للأمن السيبراني,Cyber Space
73,https://cybervision.com.sa/,مفهوم الرؤية للأمن السيبراني,Cyber Vision
74,http://cyberaad.com/,شركة الرعد الأمني للاتصالات وتقنية المعلومات,CYBERAAD Cybersecurity Services
75,https://cybercave.com.sa/,مؤسسة الكهف للأمن السيبراني,CyberCave
76,https://www.cybermind.sa/,شركة الذهن للأمن السيبراني,CyberMind
77,https://cyberops.sa/,شركة العمليات الرقمية للأمن السيبراني,CyberOps
78,https://www.cybersenshi.com/,مؤسسة السديرات للمشاريع,Cybersenshi
79,https://cybersecurityprof.com/,شركة المحترف الامني للامن السيبراني,CyberSecurity Prof
80,https://cse-labs.com/,مؤسسة الخبراء للأمن السيبراني,Cyber Security Experts
81,https://cyberum.net/,شركة حلول الدفاع للامن السيبراني,CYBERUM Protection
82,https://www.cyberx.world/,شركة المنار للإنتاج الإعلامي المرئي والمسموع - سايبر إكس,CyberX
83,https://betait.net/,شركة دار بيتا لتكنولوجيا المعلومات,.Dar Beta Information Technology Co
84,http://www.thedataprotectors.com/,حماة البيانات,Data Protectors
85,https://dataera.sa/,شركة عصر البيانات التقنية,Dataera
86,https://datasec.sa/,شركة أمن البيانات للأمن السيبراني,DataSec
87,https://dcybersecurity.sa/,شركة دفاع للأمن السيبراني,DEFENSE CYBER SECURITY
88,https://www2.deloitte.com/redirect.html,شركة ديلويت أند توش السعودية للاستشارات المحدودة,Touche Advisory Saudi Limited & Deloitte
89,https://deltaline-it.com/,شركة دلتا الاتصالات العالمية,Delta Line International
90,https://depthdefense.com/,شركة الدفاع العميق للأمن السيبراني,Depth Defense
91,https://www.detasad.com/,شركة ديتكون السعودية ديتاساد المحدودة,Detecon Al Saudia DETASAD Co. Ltd
92,https://www.devoteam.com/,شركة ديفوتيم,Devoteam
93,https://www.dgeo.com.sa/,مؤسسة الجغرافيا الرقمية لتقنية المعلومات,Digital Geography for information technology
94,https://digital-move.com/,شركة الحركة الرقمية للاتصالات وتقنية المعلومات,Digital Move IT & Telecom Company
95,https://www.digitalscheduling.sa/,شركة الجدولة الرقمية لتقنية المعلومات,Digital Scheduling Company
96,https://digisec.com.sa/,شركة الحماية الرقمية للاتصالات وتقنية المعلومات,Digital Security Company
97,https://www.digrix.com/,شركة المصفوفات الرقمية للأجهزة الأمنية,DIGRIX
98,https://diyarme.com/,شركة ديار الشرق الأوسط لتكنلوجيا المعلومات,Diyar Middle East for Information Technology
